Date,Open,High,Low,Close,Volume
2021-01-04,171.0,185.0,171.0,185.0,78100
2021-01-05,185.0,194.0,180.0,185.0,102000
2021-01-06,184.0,185.0,177.0,178.0,33600
2021-01-07,178.0,182.0,170.0,179.0,57600
2021-01-08,175.0,178.0,169.0,177.0,23500
2021-01-11,176.0,176.0,170.0,173.0,8400
2021-01-12,173.0,173.0,166.0,171.0,11800
2021-01-13,170.0,170.0,168.0,168.0,22500
2021-01-14,167.0,167.0,159.0,165.0,41400
2021-01-15,165.0,174.0,165.0,167.0,1400
2021-01-18,167.0,174.0,158.0,170.0,300500
2021-01-19,160.0,168.0,160.0,160.0,34400
2021-01-20,206.0,206.0,158.0,167.0,57000
2021-01-21,165.0,165.0,156.0,156.0,159200
2021-01-22,156.0,156.0,148.0,152.0,20900
2021-01-25,152.0,204.0,146.0,204.0,667100
2021-01-26,208.0,254.0,204.0,254.0,1378500
2021-01-27,260.0,316.0,238.0,238.0,2019000
2021-01-28,222.0,222.0,222.0,222.0,44200
2021-01-29,208.0,208.0,208.0,208.0,5200
2021-02-01,194.0,194.0,194.0,194.0,17800
2021-02-02,194.0,194.0,181.0,181.0,95000
2021-02-03,175.0,178.0,169.0,169.0,614000
2021-02-04,165.0,169.0,158.0,158.0,632700
2021-02-05,158.0,212.0,148.0,190.0,5002600
2021-02-08,197.0,212.0,181.0,181.0,1060800
2021-02-09,181.0,226.0,181.0,202.0,2101200
2021-02-10,218.0,252.0,199.0,234.0,6810800
2021-02-11,234.0,270.0,220.0,234.0,4913600
2021-02-15,234.0,240.0,218.0,220.0,1681400
2021-02-16,222.0,230.0,206.0,206.0,1192100
2021-02-17,222.0,222.0,192.0,193.0,579300
2021-02-18,193.0,218.0,183.0,193.0,699900
2021-02-19,195.0,228.0,193.0,202.0,4158800
2021-02-22,202.0,208.0,188.0,204.0,1588300
2021-02-23,204.0,206.0,199.0,200.0,573400
2021-02-24,200.0,202.0,190.0,193.0,590800
2021-02-25,196.0,202.0,192.0,195.0,810700
2021-02-26,190.0,193.0,182.0,190.0,1323000
2021-03-01,199.0,199.0,190.0,190.0,955700
2021-03-02,198.0,206.0,183.0,196.0,960600
2021-03-03,194.0,195.0,187.0,190.0,653200
2021-03-04,190.0,194.0,184.0,186.0,334100
2021-03-05,186.0,200.0,180.0,187.0,879800
2021-03-08,177.0,185.0,174.0,174.0,805400
2021-03-09,174.0,174.0,162.0,162.0,492000
2021-03-10,162.0,170.0,151.0,160.0,420300
2021-03-12,160.0,170.0,160.0,164.0,389800
2021-03-15,164.0,165.0,158.0,158.0,191600
2021-03-16,162.0,162.0,156.0,158.0,238600
2021-03-17,159.0,162.0,155.0,156.0,165200
2021-03-18,156.0,164.0,155.0,162.0,424700
2021-03-19,166.0,168.0,153.0,153.0,198600
2021-03-22,153.0,161.0,150.0,151.0,514700
2021-03-23,154.0,154.0,145.0,146.0,1116400
2021-03-24,146.0,152.0,146.0,149.0,241000
2021-03-25,154.0,154.0,145.0,146.0,316200
2021-03-26,147.0,150.0,145.0,150.0,81900
2021-03-29,150.0,152.0,149.0,149.0,574700
2021-03-30,149.0,149.0,142.0,142.0,182400
2021-03-31,142.0,142.0,133.0,133.0,637100
2021-04-01,125.0,139.0,124.0,124.0,867800
2021-04-05,124.0,124.0,116.0,116.0,411100
2021-04-06,116.0,116.0,108.0,108.0,376900
2021-04-07,101.0,127.0,101.0,102.0,4714400
2021-04-08,105.0,110.0,102.0,110.0,1265800
2021-04-09,110.0,111.0,104.0,104.0,631200
2021-04-12,106.0,106.0,98.0,98.0,816500
2021-04-13,99.0,103.0,92.0,98.0,470700
2021-04-14,98.0,104.0,94.0,97.0,1294400
2021-04-15,99.0,100.0,95.0,98.0,637700
2021-04-16,98.0,101.0,95.0,97.0,1447700
2021-04-19,100.0,130.0,95.0,130.0,9100300
2021-04-20,145.0,172.0,130.0,134.0,32431900
2021-04-21,135.0,142.0,125.0,125.0,3746300
2021-04-22,122.0,144.0,117.0,119.0,4096400
2021-04-23,119.0,120.0,111.0,115.0,905200
2021-04-26,113.0,116.0,108.0,114.0,470000
2021-04-27,114.0,114.0,107.0,109.0,698500
2021-04-28,111.0,117.0,111.0,114.0,544700
2021-04-29,114.0,118.0,110.0,111.0,349900
2021-04-30,110.0,114.0,110.0,112.0,824200
2021-05-03,111.0,114.0,107.0,114.0,642300
2021-05-04,114.0,121.0,109.0,114.0,2900900
2021-05-05,114.0,118.0,110.0,111.0,1181400
2021-05-06,111.0,116.0,108.0,111.0,500500
2021-05-07,111.0,133.0,109.0,117.0,27552100
2021-05-10,117.0,130.0,113.0,116.0,12898200
2021-05-11,116.0,118.0,114.0,114.0,1149300
2021-05-17,116.0,116.0,108.0,108.0,747700
2021-05-18,107.0,110.0,106.0,108.0,409300
2021-05-19,109.0,109.0,103.0,103.0,1588000
2021-05-20,103.0,110.0,102.0,103.0,2328300
2021-05-21,103.0,108.0,103.0,105.0,1218500
2021-05-24,103.0,106.0,103.0,106.0,1246300
2021-05-25,105.0,108.0,103.0,106.0,891800
2021-05-27,108.0,124.0,105.0,106.0,8949800
2021-05-28,108.0,108.0,103.0,103.0,1741300
2021-05-31,103.0,105.0,100.0,102.0,1205500
2021-06-02,101.0,104.0,101.0,103.0,329800
2021-06-03,104.0,104.0,100.0,101.0,1082800
2021-06-04,101.0,108.0,100.0,106.0,2481000
2021-06-07,108.0,114.0,103.0,104.0,8046000
2021-06-08,105.0,106.0,103.0,103.0,791200
2021-06-09,103.0,104.0,102.0,102.0,901700
2021-06-10,102.0,104.0,101.0,103.0,545700
2021-06-11,105.0,109.0,103.0,108.0,2105500
2021-06-14,108.0,137.0,104.0,136.0,39649100
2021-06-15,140.0,142.0,127.0,127.0,7034500
2021-06-16,119.0,143.0,119.0,139.0,28225900
2021-06-17,139.0,140.0,130.0,130.0,8486300
2021-06-18,121.0,130.0,121.0,121.0,7158500
2021-06-21,113.0,115.0,113.0,113.0,364000
2021-06-22,106.0,115.0,106.0,106.0,7335000
2021-06-23,103.0,114.0,100.0,106.0,13808000
2021-06-24,107.0,113.0,104.0,106.0,14043800
2021-06-25,106.0,108.0,102.0,102.0,1787800
2021-06-28,102.0,118.0,101.0,102.0,8786900
2021-06-29,102.0,105.0,101.0,102.0,1094100
2021-06-30,104.0,110.0,100.0,100.0,6092800
2021-07-01,101.0,104.0,97.0,97.0,1627300
2021-07-02,97.0,102.0,95.0,96.0,2948000
2021-07-05,98.0,98.0,95.0,96.0,781900
2021-07-06,96.0,96.0,91.0,92.0,2808700
2021-07-07,92.0,92.0,87.0,89.0,982900
2021-07-08,89.0,96.0,89.0,93.0,1847900
2021-07-09,96.0,96.0,88.0,89.0,780900
2021-07-12,89.0,94.0,87.0,93.0,1446500
2021-07-13,93.0,107.0,90.0,91.0,16707900
2021-07-14,93.0,93.0,88.0,90.0,1405100
2021-07-15,90.0,91.0,86.0,89.0,1154300
2021-07-16,90.0,90.0,88.0,89.0,145400
2021-07-19,89.0,89.0,86.0,87.0,853100
2021-07-21,89.0,89.0,83.0,84.0,2906400
2021-07-22,86.0,88.0,84.0,85.0,2103600
2021-07-23,85.0,88.0,84.0,85.0,1805200
2021-07-26,85.0,87.0,81.0,83.0,2175900
2021-07-27,84.0,84.0,80.0,81.0,1159400
2021-07-28,81.0,82.0,79.0,80.0,683500
2021-07-29,80.0,90.0,78.0,82.0,7338100
2021-07-30,83.0,83.0,78.0,80.0,1602000
2021-08-02,80.0,82.0,78.0,80.0,1081400
2021-08-03,80.0,80.0,75.0,76.0,4057400
2021-08-04,75.0,76.0,72.0,74.0,1087700
2021-08-05,75.0,77.0,72.0,75.0,2026300
2021-08-06,76.0,77.0,73.0,75.0,327800
2021-08-09,75.0,77.0,74.0,75.0,1041800
2021-08-10,75.0,83.0,71.0,73.0,10903800
2021-08-12,73.0,76.0,71.0,73.0,1217100
2021-08-13,73.0,74.0,69.0,69.0,1633600
2021-08-16,69.0,73.0,66.0,68.0,2652800
2021-08-18,68.0,71.0,64.0,69.0,2566500
2021-08-19,71.0,71.0,65.0,66.0,1727900
2021-08-20,66.0,69.0,65.0,66.0,959900
2021-08-23,67.0,89.0,67.0,89.0,55524900
2021-08-24,98.0,120.0,95.0,120.0,95120400
2021-08-25,132.0,140.0,112.0,112.0,31047200
2021-08-26,105.0,123.0,105.0,105.0,102805300
2021-08-27,105.0,133.0,101.0,113.0,176849200
2021-08-30,116.0,118.0,106.0,106.0,47912100
2021-08-31,107.0,111.0,103.0,107.0,15582900
2021-09-01,108.0,144.0,105.0,137.0,255386900
2021-09-02,138.0,149.0,128.0,128.0,95169500
2021-09-03,125.0,136.0,120.0,129.0,32866800
2021-09-06,138.0,138.0,121.0,124.0,59991500
2021-09-07,126.0,129.0,121.0,121.0,7210600
2021-09-08,122.0,127.0,113.0,118.0,10761800
2021-09-09,118.0,134.0,113.0,118.0,62891600
2021-09-10,119.0,125.0,116.0,120.0,11740700
2021-09-13,120.0,133.0,118.0,123.0,48210900
2021-09-14,130.0,131.0,122.0,126.0,23074200
2021-09-15,126.0,129.0,121.0,123.0,12117400
2021-09-16,124.0,132.0,123.0,132.0,21019400
2021-09-17,135.0,139.0,124.0,126.0,37019900
2021-09-20,125.0,128.0,123.0,123.0,6989700
2021-09-21,123.0,124.0,115.0,115.0,9301400
2021-09-22,115.0,126.0,111.0,118.0,23445100
2021-09-23,118.0,125.0,113.0,117.0,23781500
2021-09-24,117.0,121.0,114.0,118.0,11108600
2021-09-27,118.0,119.0,113.0,113.0,5048400
2021-09-28,113.0,115.0,106.0,106.0,8843400
2021-09-29,99.0,107.0,99.0,100.0,13169900
2021-09-30,93.0,116.0,93.0,100.0,20390400
2021-10-01,95.0,105.0,95.0,100.0,5160500
2021-10-04,94.0,103.0,94.0,98.0,8822100
2021-10-05,94.0,99.0,92.0,92.0,15300800
2021-10-06,91.0,103.0,87.0,98.0,39366800
2021-10-07,98.0,99.0,93.0,95.0,5443700
2021-10-08,93.0,98.0,93.0,95.0,5039400
2021-10-11,89.0,96.0,89.0,93.0,3012300
2021-10-12,93.0,96.0,91.0,92.0,4313000
2021-10-13,92.0,96.0,90.0,91.0,1993700
2021-10-14,91.0,94.0,89.0,89.0,3615100
2021-10-15,89.0,94.0,89.0,90.0,1158700
2021-10-18,91.0,94.0,88.0,91.0,3663800
2021-10-19,91.0,95.0,90.0,91.0,6904200
2021-10-21,91.0,96.0,90.0,91.0,6671100
2021-10-22,93.0,101.0,91.0,101.0,27449300
2021-10-25,101.0,107.0,97.0,97.0,31802300
2021-10-26,97.0,102.0,94.0,101.0,15877200
2021-10-27,101.0,103.0,98.0,99.0,7087500
2021-10-28,99.0,101.0,96.0,97.0,4019700
2021-10-29,97.0,100.0,97.0,97.0,4426600
2021-11-01,97.0,108.0,96.0,104.0,43069600
2021-11-02,105.0,105.0,101.0,103.0,8215800
2021-11-03,104.0,106.0,101.0,104.0,16778200
2021-11-04,104.0,105.0,102.0,103.0,3723700
2021-11-05,103.0,104.0,98.0,99.0,7063000
2021-11-08,99.0,99.0,97.0,98.0,6655900
2021-11-09,98.0,102.0,97.0,100.0,6937100
2021-11-10,100.0,100.0,97.0,97.0,3724500
2021-11-11,99.0,100.0,97.0,98.0,3042200
2021-11-12,97.0,99.0,93.0,93.0,5625900
2021-11-15,93.0,94.0,91.0,91.0,3612100
2021-11-16,89.0,94.0,89.0,93.0,4255700
2021-11-17,90.0,94.0,90.0,90.0,2014100
2021-11-18,90.0,94.0,90.0,93.0,2756200
2021-11-19,87.0,94.0,87.0,90.0,2686900
2021-11-22,89.0,99.0,89.0,96.0,21424200
2021-11-23,100.0,120.0,97.0,102.0,281966000
2021-11-24,97.0,105.0,97.0,100.0,21049500
2021-11-25,100.0,103.0,93.0,93.0,16161800
2021-11-26,88.0,98.0,88.0,93.0,25030600
2021-11-29,91.0,93.0,88.0,90.0,9444100
2021-11-30,88.0,93.0,87.0,88.0,8661400
2021-12-01,83.0,90.0,83.0,83.0,7922600
2021-12-02,79.0,85.0,79.0,83.0,3867600
2021-12-03,82.0,87.0,81.0,85.0,5901100
2021-12-06,80.0,89.0,80.0,83.0,6916400
2021-12-07,80.0,85.0,80.0,83.0,3353300
2021-12-08,80.0,85.0,80.0,82.0,3524700
2021-12-09,81.0,85.0,81.0,83.0,2261900
2021-12-10,85.0,86.0,81.0,83.0,4674700
2021-12-13,85.0,87.0,82.0,83.0,5983400
2021-12-14,81.0,96.0,81.0,95.0,137247700
2021-12-15,95.0,97.0,89.0,89.0,32894400
2021-12-16,84.0,91.0,84.0,89.0,17835000
2021-12-17,90.0,91.0,87.0,89.0,9275500
2021-12-20,89.0,91.0,86.0,88.0,5710700
2021-12-21,89.0,90.0,86.0,87.0,3380400
2021-12-22,88.0,93.0,86.0,91.0,9753400
2021-12-23,92.0,93.0,88.0,90.0,20502700
2021-12-24,89.0,94.0,88.0,88.0,16846200
2021-12-27,87.0,92.0,85.0,87.0,10091900
2021-12-28,86.0,91.0,86.0,88.0,3631600
2021-12-29,87.0,89.0,86.0,87.0,2979700
2021-12-30,86.0,92.0,86.0,88.0,10627500
2022-01-03,97.0,97.0,88.0,89.0,14236600
2022-01-04,90.0,90.0,86.0,87.0,6493900
2022-01-05,88.0,88.0,86.0,87.0,2454100
2022-01-06,86.0,92.0,85.0,86.0,15679700
2022-01-07,81.0,87.0,81.0,85.0,5914400
2022-01-10,82.0,90.0,82.0,84.0,12401400
2022-01-11,83.0,88.0,82.0,83.0,9266500
2022-01-12,78.0,83.0,78.0,80.0,13349200
2022-01-13,80.0,82.0,78.0,80.0,4604200
2022-01-14,82.0,82.0,77.0,78.0,3812000
2022-01-17,78.0,86.0,78.0,82.0,29231700
2022-01-18,83.0,83.0,79.0,80.0,3511100
2022-01-19,82.0,85.0,80.0,81.0,20023400
2022-01-20,80.0,82.0,79.0,80.0,3245300
2022-01-21,81.0,85.0,79.0,80.0,10803900
2022-01-24,81.0,81.0,79.0,79.0,2746800
2022-01-25,79.0,84.0,77.0,81.0,11643600
2022-01-26,82.0,84.0,79.0,80.0,5078600
2022-01-27,80.0,83.0,79.0,79.0,3506300
2022-01-28,79.0,81.0,74.0,74.0,9265600
2022-01-31,76.0,78.0,70.0,72.0,10867500
2022-02-02,72.0,78.0,71.0,74.0,14549400
2022-02-03,74.0,77.0,72.0,74.0,3885900
2022-02-04,74.0,77.0,73.0,75.0,4792300
2022-02-07,75.0,81.0,74.0,76.0,49037000
2022-02-08,76.0,77.0,75.0,75.0,5552800
2022-02-09,73.0,79.0,73.0,76.0,7202800
2022-02-10,75.0,77.0,75.0,75.0,1597600
2022-02-11,75.0,76.0,73.0,74.0,2483500
2022-02-14,74.0,75.0,72.0,72.0,2314200
2022-02-15,72.0,73.0,71.0,72.0,2124800
2022-02-16,73.0,73.0,70.0,71.0,4543100
2022-02-17,71.0,77.0,71.0,73.0,11104900
2022-02-18,69.0,74.0,69.0,72.0,1886300
2022-02-21,72.0,74.0,71.0,71.0,4112400
2022-02-22,72.0,73.0,71.0,72.0,1596900
2022-02-23,72.0,73.0,70.0,71.0,2496200
2022-02-24,70.0,73.0,67.0,67.0,7410100
2022-02-25,63.0,68.0,63.0,65.0,6539400
2022-03-01,65.0,66.0,63.0,63.0,2954500
2022-03-02,63.0,67.0,63.0,65.0,3575600
2022-03-04,61.0,65.0,61.0,61.0,6045100
2022-03-07,57.0,62.0,57.0,60.0,4863800
2022-03-08,60.0,62.0,57.0,58.0,5713400
2022-03-09,58.0,63.0,57.0,60.0,7930000
2022-03-10,65.0,65.0,59.0,61.0,1858400
2022-03-11,67.0,67.0,60.0,61.0,12564000
2022-03-14,61.0,62.0,60.0,61.0,1913300
2022-03-15,60.0,80.0,60.0,74.0,170780600
2022-03-16,75.0,77.0,69.0,69.0,56837700
2022-03-17,69.0,82.0,66.0,73.0,139343600
2022-03-18,74.0,75.0,70.0,72.0,13447900
2022-03-21,70.0,73.0,69.0,71.0,7541300
2022-03-22,72.0,76.0,70.0,71.0,26838200
2022-03-23,70.0,75.0,70.0,71.0,23856400
2022-03-24,67.0,76.0,67.0,72.0,38136500
2022-03-25,72.0,72.0,70.0,71.0,5416400
2022-03-28,71.0,72.0,70.0,70.0,3405500
2022-03-29,67.0,75.0,67.0,71.0,24251000
2022-03-30,70.0,72.0,70.0,71.0,2516600
2022-03-31,70.0,72.0,69.0,70.0,3498600
2022-04-01,69.0,71.0,69.0,70.0,977600
2022-04-04,70.0,72.0,66.0,70.0,7141100
2022-04-05,66.0,73.0,66.0,70.0,11714200
2022-04-06,70.0,70.0,68.0,68.0,2467900
2022-04-07,69.0,87.0,68.0,84.0,113281900
2022-04-08,84.0,95.0,82.0,88.0,135777400
2022-04-11,89.0,102.0,88.0,91.0,158022400
2022-04-12,92.0,102.0,90.0,93.0,93919800
2022-04-13,94.0,118.0,87.0,87.0,258326900
2022-04-14,86.0,86.0,81.0,82.0,33349400
2022-04-18,82.0,86.0,80.0,82.0,17466500
2022-04-19,82.0,90.0,77.0,80.0,58703800
2022-04-20,82.0,85.0,75.0,75.0,42316500
2022-04-21,70.0,75.0,70.0,74.0,16468700
2022-04-22,76.0,99.0,76.0,99.0,316730600
2022-04-25,96.0,122.0,94.0,107.0,423902600
