Date,Open,High,Low,Close,Volume
2021-01-04,51.0,51.0,50.0,51.0,35800
2021-01-05,51.0,51.0,51.0,51.0,11700
2021-01-06,52.0,52.0,50.0,52.0,16500
2021-01-07,52.0,52.0,50.0,51.0,46300
2021-01-08,51.0,52.0,51.0,51.0,3800
2021-01-11,51.0,51.0,50.0,50.0,6200
2021-01-12,52.0,56.0,52.0,53.0,440500
2021-01-13,53.0,54.0,51.0,53.0,67100
2021-01-14,53.0,53.0,50.0,51.0,57400
2021-01-15,52.0,54.0,52.0,54.0,93400
2021-01-18,54.0,55.0,52.0,52.0,76200
2021-01-19,51.0,55.0,51.0,51.0,94500
2021-01-20,53.0,54.0,53.0,53.0,4500
2021-01-21,51.0,51.0,51.0,51.0,11000
2021-01-22,51.0,52.0,51.0,51.0,10700
2021-01-25,51.0,51.0,50.0,50.0,111300
2021-01-26,50.0,50.0,50.0,50.0,1300
2021-01-27,50.0,51.0,50.0,51.0,7700
2021-01-28,51.0,51.0,50.0,50.0,3000
2021-01-29,50.0,51.0,50.0,51.0,7100
2021-02-01,51.0,51.0,50.0,50.0,18200
2021-02-02,50.0,50.0,50.0,50.0,24600
2021-02-03,50.0,50.0,50.0,50.0,600
2021-02-04,50.0,50.0,50.0,50.0,9200
2021-02-05,50.0,51.0,50.0,50.0,600
2021-02-08,50.0,50.0,50.0,50.0,3400
2021-02-09,50.0,50.0,50.0,50.0,10800
2021-02-10,50.0,50.0,50.0,50.0,52000
2021-02-11,50.0,50.0,50.0,50.0,42200
2021-02-15,50.0,50.0,50.0,50.0,7800
2021-02-16,50.0,51.0,50.0,50.0,103100
2021-02-17,50.0,53.0,50.0,51.0,221300
2021-02-18,51.0,51.0,50.0,51.0,200700
2021-02-19,51.0,51.0,50.0,50.0,1500
2021-02-22,50.0,50.0,50.0,50.0,300
2021-02-23,50.0,50.0,50.0,50.0,0
2021-02-24,51.0,51.0,50.0,50.0,85500
2021-02-25,50.0,51.0,50.0,50.0,10600
2021-02-26,51.0,51.0,51.0,51.0,24800
2021-03-01,51.0,51.0,50.0,50.0,46200
2021-03-02,50.0,53.0,50.0,50.0,160900
2021-03-03,50.0,51.0,50.0,51.0,80300
2021-03-04,51.0,52.0,51.0,51.0,51000
2021-03-05,51.0,52.0,50.0,50.0,613300
2021-03-08,50.0,50.0,50.0,50.0,71100
2021-03-09,50.0,52.0,50.0,50.0,289800
2021-03-10,50.0,50.0,50.0,50.0,100900
2021-03-12,50.0,51.0,50.0,50.0,58000
2021-03-15,50.0,50.0,50.0,50.0,1400
2021-03-16,51.0,51.0,50.0,50.0,417300
2021-03-17,51.0,51.0,50.0,50.0,169100
2021-03-18,51.0,51.0,50.0,51.0,783400
2021-03-19,51.0,51.0,50.0,51.0,90900
2021-03-22,51.0,52.0,50.0,51.0,143900
2021-03-23,51.0,51.0,50.0,51.0,150300
2021-03-24,50.0,51.0,50.0,51.0,107500
2021-03-25,51.0,51.0,50.0,50.0,86100
2021-03-26,50.0,51.0,50.0,51.0,107000
2021-03-29,51.0,51.0,50.0,51.0,100800
2021-03-30,51.0,51.0,50.0,50.0,95300
2021-03-31,50.0,51.0,50.0,50.0,51200
2021-04-01,50.0,51.0,50.0,51.0,1100
2021-04-05,51.0,51.0,50.0,50.0,3600
2021-04-06,51.0,51.0,50.0,51.0,40600
2021-04-07,51.0,51.0,50.0,50.0,575300
2021-04-08,51.0,54.0,50.0,52.0,878000
2021-04-09,52.0,55.0,52.0,53.0,720700
2021-04-12,54.0,54.0,51.0,51.0,288700
2021-04-13,51.0,52.0,50.0,52.0,86400
2021-04-14,51.0,53.0,50.0,52.0,72000
2021-04-15,52.0,53.0,50.0,52.0,135100
2021-04-16,52.0,52.0,50.0,51.0,478900
2021-04-19,50.0,52.0,50.0,52.0,316200
2021-04-20,52.0,54.0,51.0,51.0,130700
2021-04-21,51.0,52.0,50.0,51.0,111900
2021-04-22,50.0,64.0,50.0,53.0,9025000
2021-04-23,53.0,60.0,53.0,53.0,3322800
2021-04-26,53.0,60.0,52.0,53.0,7514500
2021-04-27,53.0,55.0,51.0,52.0,2239600
2021-04-28,52.0,53.0,50.0,50.0,4372400
2021-04-29,51.0,52.0,50.0,50.0,5789300
2021-04-30,50.0,51.0,50.0,50.0,802500
2021-05-03,51.0,51.0,50.0,50.0,573000
2021-05-04,50.0,51.0,50.0,51.0,719800
2021-05-05,51.0,51.0,50.0,51.0,217500
2021-05-06,50.0,51.0,50.0,50.0,380100
2021-05-07,50.0,51.0,50.0,50.0,618400
2021-05-10,50.0,51.0,50.0,51.0,867900
2021-05-11,51.0,51.0,50.0,51.0,492500
2021-05-17,51.0,51.0,50.0,50.0,152300
2021-05-18,50.0,51.0,50.0,50.0,89100
2021-05-19,50.0,50.0,50.0,50.0,410500
2021-05-20,50.0,51.0,50.0,50.0,28900
2021-05-21,50.0,50.0,50.0,50.0,19900
2021-05-24,50.0,50.0,50.0,50.0,60300
2021-05-25,50.0,50.0,50.0,50.0,1100
2021-05-27,50.0,51.0,50.0,50.0,189000
2021-05-28,50.0,50.0,50.0,50.0,300
2021-05-31,50.0,51.0,50.0,51.0,67000
2021-06-02,51.0,51.0,50.0,51.0,50000
2021-06-03,51.0,51.0,50.0,50.0,285600
2021-06-04,50.0,51.0,50.0,51.0,276000
2021-06-07,51.0,51.0,50.0,50.0,152000
2021-06-08,50.0,50.0,50.0,50.0,46200
2021-06-09,50.0,50.0,50.0,50.0,500
2021-06-10,50.0,50.0,50.0,50.0,142800
2021-06-11,50.0,50.0,50.0,50.0,500
2021-06-14,50.0,50.0,50.0,50.0,29100
2021-06-15,50.0,50.0,50.0,50.0,2900
2021-06-16,50.0,50.0,50.0,50.0,900
2021-06-17,50.0,50.0,50.0,50.0,1000
2021-06-18,50.0,50.0,50.0,50.0,10600
2021-06-21,50.0,50.0,50.0,50.0,300
2021-06-22,50.0,51.0,50.0,50.0,534100
2021-06-23,50.0,51.0,50.0,50.0,348200
2021-06-24,50.0,50.0,50.0,50.0,25300
2021-06-25,50.0,50.0,50.0,50.0,1000
2021-06-28,50.0,50.0,50.0,50.0,100
2021-06-29,50.0,50.0,50.0,50.0,300
2021-06-30,50.0,50.0,50.0,50.0,1700
2021-07-01,50.0,50.0,50.0,50.0,500
2021-07-02,50.0,50.0,50.0,50.0,30700
2021-07-05,50.0,50.0,50.0,50.0,10700
2021-07-06,50.0,50.0,50.0,50.0,99600
2021-07-07,50.0,51.0,50.0,50.0,38400
2021-07-08,50.0,50.0,50.0,50.0,6600
2021-07-09,50.0,62.0,50.0,50.0,12042600
2021-07-12,50.0,58.0,50.0,54.0,18666100
2021-07-13,54.0,55.0,51.0,51.0,6352500
2021-07-14,51.0,53.0,50.0,50.0,2965600
2021-07-15,50.0,51.0,50.0,51.0,1050500
2021-07-16,51.0,51.0,50.0,50.0,349300
2021-07-19,50.0,51.0,50.0,50.0,1053500
2021-07-21,50.0,50.0,50.0,50.0,26900
2021-07-22,50.0,51.0,50.0,50.0,522200
2021-07-23,50.0,51.0,50.0,50.0,537100
2021-07-26,50.0,51.0,50.0,50.0,677600
2021-07-27,51.0,51.0,50.0,50.0,357200
2021-07-28,50.0,51.0,50.0,50.0,348600
2021-07-29,50.0,53.0,50.0,50.0,2322800
2021-07-30,50.0,51.0,50.0,50.0,1136300
2021-08-02,50.0,51.0,50.0,50.0,126800
2021-08-03,51.0,51.0,50.0,50.0,64000
2021-08-04,50.0,51.0,50.0,50.0,142900
2021-08-05,50.0,50.0,50.0,50.0,157500
2021-08-06,50.0,50.0,50.0,50.0,89100
2021-08-09,50.0,51.0,50.0,50.0,163400
2021-08-10,50.0,51.0,50.0,50.0,202200
2021-08-12,50.0,51.0,50.0,50.0,62100
2021-08-13,50.0,50.0,50.0,50.0,2300
2021-08-16,50.0,50.0,50.0,50.0,50500
2021-08-18,50.0,52.0,50.0,50.0,3403000
2021-08-19,50.0,50.0,50.0,50.0,126400
2021-08-20,50.0,51.0,50.0,51.0,2564400
2021-08-23,51.0,54.0,50.0,51.0,4185400
2021-08-24,51.0,52.0,50.0,52.0,1999000
2021-08-25,52.0,52.0,51.0,52.0,578900
2021-08-26,52.0,52.0,50.0,51.0,232900
2021-08-27,51.0,52.0,50.0,51.0,323200
2021-08-30,51.0,52.0,50.0,50.0,340300
2021-08-31,50.0,51.0,50.0,50.0,561100
2021-09-01,50.0,51.0,50.0,50.0,234200
2021-09-02,50.0,51.0,50.0,50.0,91100
2021-09-03,50.0,51.0,50.0,50.0,463000
2021-09-06,50.0,50.0,50.0,50.0,110900
2021-09-07,50.0,50.0,50.0,50.0,23900
2021-09-08,50.0,50.0,50.0,50.0,345700
2021-09-09,50.0,51.0,50.0,50.0,483400
2021-09-10,50.0,50.0,50.0,50.0,159600
2021-09-13,50.0,51.0,50.0,50.0,586200
2021-09-14,50.0,51.0,50.0,51.0,40700
2021-09-15,50.0,51.0,50.0,50.0,461600
2021-09-16,50.0,58.0,50.0,51.0,14192800
2021-09-17,52.0,52.0,50.0,52.0,3739000
2021-09-20,52.0,52.0,50.0,50.0,4989900
2021-09-21,50.0,52.0,50.0,51.0,2525500
2021-09-22,51.0,56.0,50.0,51.0,7717100
2021-09-23,51.0,55.0,51.0,52.0,7369100
2021-09-24,52.0,53.0,51.0,52.0,3224800
2021-09-27,52.0,52.0,50.0,51.0,1534900
2021-09-28,51.0,52.0,50.0,51.0,775600
2021-09-29,51.0,51.0,50.0,50.0,2085000
2021-09-30,50.0,51.0,50.0,51.0,977400
2021-10-01,51.0,51.0,50.0,50.0,803500
2021-10-04,50.0,51.0,50.0,50.0,791500
2021-10-05,50.0,51.0,50.0,51.0,522400
2021-10-06,51.0,51.0,50.0,50.0,226500
2021-10-07,50.0,51.0,50.0,50.0,159700
2021-10-08,50.0,51.0,50.0,51.0,571400
2021-10-11,50.0,51.0,50.0,50.0,518000
2021-10-12,50.0,51.0,50.0,51.0,90900
2021-10-13,51.0,51.0,50.0,50.0,161800
2021-10-14,50.0,51.0,50.0,50.0,979100
2021-10-15,50.0,51.0,50.0,50.0,84500
2021-10-18,50.0,51.0,50.0,50.0,321200
2021-10-19,50.0,51.0,50.0,50.0,333600
2021-10-21,50.0,51.0,50.0,50.0,46700
2021-10-22,50.0,50.0,50.0,50.0,149500
2021-10-25,50.0,51.0,50.0,51.0,489900
2021-10-26,50.0,51.0,50.0,50.0,313100
2021-10-27,50.0,51.0,50.0,50.0,77500
2021-10-28,50.0,50.0,50.0,50.0,37800
2021-10-29,50.0,51.0,50.0,51.0,702100
2021-11-01,51.0,51.0,50.0,51.0,41700
2021-11-02,50.0,51.0,50.0,50.0,165100
2021-11-03,50.0,51.0,50.0,50.0,524500
2021-11-04,50.0,51.0,50.0,50.0,300600
2021-11-05,50.0,51.0,50.0,50.0,301600
2021-11-08,50.0,51.0,50.0,50.0,361600
2021-11-09,50.0,51.0,50.0,50.0,402000
2021-11-10,50.0,50.0,50.0,50.0,180900
2021-11-11,50.0,51.0,50.0,50.0,492000
2021-11-12,50.0,51.0,50.0,51.0,160000
2021-11-15,51.0,51.0,50.0,51.0,70400
2021-11-16,51.0,51.0,50.0,51.0,184000
2021-11-17,50.0,51.0,50.0,51.0,321000
2021-11-18,51.0,51.0,50.0,51.0,151800
2021-11-19,51.0,51.0,50.0,51.0,114700
2021-11-22,51.0,51.0,50.0,51.0,2400
2021-11-23,50.0,51.0,50.0,51.0,165500
2021-11-24,51.0,51.0,50.0,51.0,900
2021-11-25,50.0,51.0,50.0,51.0,27000
2021-11-26,50.0,51.0,50.0,51.0,101600
2021-11-29,50.0,51.0,50.0,51.0,180700
2021-11-30,50.0,51.0,50.0,51.0,90500
2021-12-01,50.0,51.0,50.0,51.0,278500
2021-12-02,50.0,51.0,50.0,50.0,13500
2021-12-03,51.0,51.0,50.0,51.0,42700
2021-12-06,51.0,51.0,50.0,51.0,52300
2021-12-07,51.0,51.0,50.0,50.0,63400
2021-12-08,50.0,51.0,50.0,51.0,100000
2021-12-09,50.0,51.0,50.0,51.0,31400
2021-12-10,51.0,51.0,50.0,51.0,631900
2021-12-13,50.0,51.0,50.0,51.0,230700
2021-12-14,51.0,51.0,50.0,51.0,423400
2021-12-15,51.0,51.0,50.0,50.0,276400
2021-12-16,50.0,65.0,50.0,57.0,38156200
2021-12-17,58.0,76.0,54.0,76.0,62421500
2021-12-20,78.0,102.0,76.0,101.0,193002900
2021-12-21,94.0,94.0,94.0,94.0,5955100
2021-12-22,88.0,88.0,88.0,88.0,452700
2021-12-23,82.0,90.0,82.0,82.0,27464100
2021-12-24,82.0,96.0,77.0,77.0,80295600
2021-12-27,78.0,85.0,72.0,74.0,25508200
2021-12-28,75.0,77.0,72.0,74.0,3518600
2021-12-29,74.0,97.0,74.0,94.0,149428900
2021-12-30,88.0,95.0,88.0,88.0,22393200
2022-01-03,82.0,88.0,82.0,82.0,12050600
2022-01-04,77.0,95.0,77.0,82.0,55167000
2022-01-05,83.0,87.0,81.0,82.0,10725600
2022-01-06,82.0,90.0,77.0,79.0,40776500
2022-01-07,80.0,85.0,78.0,81.0,12434100
2022-01-10,81.0,102.0,79.0,94.0,186264500
2022-01-11,94.0,115.0,88.0,102.0,234607400
2022-01-12,102.0,118.0,95.0,107.0,168585600
2022-01-13,107.0,107.0,107.0,107.0,0
2022-01-14,106.0,110.0,100.0,100.0,30517100
2022-01-17,99.0,109.0,97.0,108.0,76840800
2022-01-18,107.0,110.0,101.0,101.0,24072600
2022-01-19,99.0,105.0,99.0,102.0,7834900
2022-01-20,103.0,107.0,101.0,101.0,10019100
2022-01-21,101.0,108.0,101.0,105.0,19062900
2022-01-24,105.0,117.0,104.0,113.0,93322900
2022-01-25,113.0,113.0,113.0,113.0,0
2022-01-26,113.0,113.0,113.0,113.0,0
2022-01-27,113.0,113.0,113.0,113.0,0
2022-01-28,113.0,113.0,113.0,113.0,0
2022-01-31,113.0,113.0,113.0,113.0,0
2022-02-02,113.0,113.0,113.0,113.0,0
2022-02-03,113.0,113.0,113.0,113.0,0
2022-02-04,113.0,113.0,113.0,113.0,0
2022-02-07,113.0,113.0,113.0,113.0,0
2022-02-08,106.0,106.0,106.0,106.0,1067600
2022-02-09,99.0,99.0,99.0,99.0,800100
2022-02-10,93.0,93.0,93.0,93.0,1054500
2022-02-11,93.0,95.0,87.0,91.0,38375000
2022-02-14,94.0,100.0,91.0,100.0,31935300
2022-02-15,103.0,104.0,94.0,98.0,40735300
2022-02-16,98.0,99.0,94.0,95.0,10104400
2022-02-17,97.0,97.0,93.0,94.0,6099500
2022-02-18,94.0,96.0,93.0,96.0,3559300
2022-02-21,96.0,97.0,94.0,96.0,6007800
2022-02-22,105.0,105.0,92.0,97.0,7389000
2022-02-23,97.0,97.0,94.0,96.0,4838400
2022-02-24,95.0,96.0,93.0,95.0,4446800
2022-02-25,95.0,99.0,94.0,95.0,17919100
2022-03-01,95.0,98.0,95.0,95.0,9368500
2022-03-02,95.0,95.0,92.0,93.0,4098800
2022-03-04,94.0,96.0,93.0,94.0,5822900
2022-03-07,94.0,103.0,94.0,103.0,20406600
2022-03-08,103.0,111.0,96.0,109.0,42187700
2022-03-09,113.0,115.0,106.0,114.0,21025200
2022-03-10,117.0,132.0,107.0,107.0,74786200
2022-03-11,100.0,108.0,100.0,106.0,30971500
2022-03-14,106.0,110.0,104.0,104.0,16845300
2022-03-15,105.0,105.0,102.0,103.0,8180300
2022-03-16,103.0,105.0,101.0,101.0,7733900
2022-03-17,102.0,107.0,96.0,100.0,27126900
2022-03-18,101.0,101.0,97.0,97.0,7834500
2022-03-21,98.0,99.0,95.0,98.0,4423600
2022-03-22,100.0,100.0,96.0,96.0,2153100
2022-03-23,99.0,99.0,94.0,95.0,5043600
2022-03-24,97.0,97.0,94.0,94.0,7416200
2022-03-25,94.0,98.0,93.0,94.0,10456500
2022-03-28,95.0,96.0,93.0,95.0,2740300
2022-03-29,96.0,96.0,92.0,93.0,5611600
2022-03-30,93.0,94.0,87.0,87.0,5495100
2022-03-31,87.0,95.0,82.0,95.0,22716800
2022-04-01,89.0,96.0,89.0,92.0,5534500
2022-04-04,93.0,93.0,91.0,92.0,2155500
2022-04-05,91.0,97.0,90.0,94.0,15665300
2022-04-06,95.0,95.0,92.0,92.0,2411700
2022-04-07,92.0,94.0,91.0,91.0,2182400
2022-04-08,90.0,96.0,90.0,91.0,10770700
2022-04-11,91.0,92.0,89.0,90.0,3426900
2022-04-12,90.0,96.0,89.0,95.0,24267200
2022-04-13,96.0,96.0,91.0,94.0,3552800
2022-04-14,95.0,95.0,91.0,91.0,4073500
2022-04-18,85.0,93.0,85.0,91.0,1725300
2022-04-19,91.0,92.0,90.0,91.0,1661200
2022-04-20,90.0,97.0,89.0,93.0,26051500
2022-04-21,95.0,95.0,91.0,91.0,4525400
2022-04-22,91.0,94.0,91.0,92.0,1243500
2022-04-25,93.0,93.0,87.0,91.0,2604600
2022-04-26,90.0,93.0,87.0,88.0,6488700
2022-04-27,88.0,90.0,87.0,90.0,1431400
2022-04-28,90.0,90.0,86.0,87.0,2117700
2022-05-09,87.0,90.0,87.0,87.0,3505800
2022-05-10,88.0,88.0,81.0,84.0,2511100
2022-05-11,84.0,88.0,81.0,82.0,2633400
2022-05-12,82.0,86.0,77.0,77.0,1656800
2022-05-13,77.0,96.0,72.0,85.0,24336100
2022-05-17,80.0,90.0,80.0,80.0,11058100
2022-05-18,76.0,83.0,76.0,79.0,1807400
2022-05-19,77.0,80.0,77.0,79.0,965500
2022-05-20,79.0,81.0,79.0,79.0,347500
2022-05-23,79.0,86.0,79.0,82.0,3225800
2022-05-24,82.0,83.0,80.0,82.0,1853900
2022-05-25,82.0,83.0,80.0,81.0,571800
2022-05-27,81.0,82.0,80.0,81.0,554700
2022-05-30,83.0,83.0,80.0,81.0,424300
2022-05-31,81.0,82.0,80.0,80.0,436300
2022-06-02,80.0,82.0,80.0,81.0,464400
2022-06-03,81.0,85.0,80.0,85.0,1901700
2022-06-06,85.0,85.0,81.0,82.0,964800
2022-06-07,83.0,86.0,80.0,82.0,2222800
2022-06-08,82.0,87.0,82.0,83.0,4390100
2022-06-09,84.0,84.0,81.0,81.0,2072200
2022-06-10,82.0,82.0,80.0,81.0,890200
2022-06-13,81.0,84.0,76.0,81.0,7117200
2022-06-14,80.0,81.0,76.0,76.0,1838100
2022-06-15,76.0,81.0,73.0,77.0,3893700
2022-06-16,73.0,80.0,73.0,79.0,191800
2022-06-17,74.0,79.0,74.0,76.0,666700
2022-06-20,76.0,76.0,73.0,75.0,1811600
2022-06-21,75.0,75.0,73.0,74.0,193800
2022-06-22,75.0,75.0,73.0,74.0,848300
2022-06-23,74.0,75.0,73.0,74.0,1366800
2022-06-24,70.0,79.0,70.0,75.0,7628100
2022-06-27,75.0,85.0,71.0,73.0,32583900
2022-06-28,69.0,75.0,68.0,71.0,5126600
2022-06-29,70.0,72.0,68.0,68.0,3196600
2022-06-30,67.0,68.0,64.0,64.0,5101300
2022-07-01,60.0,64.0,60.0,60.0,1825400
2022-07-04,58.0,58.0,56.0,56.0,1244400
2022-07-05,53.0,56.0,53.0,53.0,5653300
2022-07-06,53.0,59.0,51.0,53.0,6824200
2022-07-07,52.0,67.0,51.0,66.0,28515800
2022-07-08,67.0,73.0,62.0,68.0,17358200
2022-07-11,64.0,70.0,64.0,65.0,1485900
2022-07-12,65.0,71.0,64.0,67.0,3365100
2022-07-13,67.0,67.0,65.0,65.0,602400
2022-07-14,65.0,77.0,63.0,66.0,26807500
2022-07-15,66.0,68.0,64.0,65.0,4153400
2022-07-18,62.0,69.0,62.0,66.0,6382200
2022-07-19,62.0,72.0,62.0,67.0,14565800
2022-07-20,64.0,74.0,64.0,71.0,12403200
2022-07-21,72.0,79.0,72.0,74.0,12842700
2022-07-22,74.0,79.0,72.0,77.0,5884300
2022-07-25,77.0,82.0,74.0,80.0,4881400
2022-07-26,80.0,90.0,79.0,90.0,12457000
2022-07-27,91.0,105.0,88.0,103.0,31678500
2022-07-28,96.0,105.0,96.0,101.0,6351800
2022-07-29,101.0,102.0,94.0,99.0,9937700
2022-08-01,98.0,103.0,98.0,98.0,1717900
2022-08-02,98.0,100.0,94.0,96.0,1093000
2022-08-03,96.0,96.0,92.0,94.0,919100
2022-08-04,94.0,95.0,88.0,88.0,2563400
2022-08-05,88.0,90.0,84.0,88.0,979100
2022-08-08,88.0,89.0,84.0,88.0,731200
2022-08-09,89.0,89.0,82.0,86.0,726100
2022-08-10,86.0,92.0,86.0,88.0,514100
2022-08-11,92.0,92.0,86.0,90.0,278800
2022-08-12,90.0,90.0,86.0,90.0,145800
2022-08-15,90.0,91.0,87.0,88.0,199600
2022-08-16,97.0,97.0,87.0,88.0,254600
2022-08-18,88.0,90.0,86.0,88.0,288400
2022-08-19,93.0,93.0,85.0,87.0,58300
2022-08-22,92.0,92.0,81.0,83.0,573900
